Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
BALBS603,DefaultProbCons,0.420307274247,0.324317785462,0.372312529855,0.0456852791878,0.420307274247,1.80325814536,0.657022196262,0.772631578947,21.0,798.0,1439.0,673.0,0.0818773426794,0.360245852727,13.0670995671,5.0,0.420307274247,0.324317785462,0.0456852791878,1.80325814536,0.690476190476
BALBS098,DefaultProbCons,0.151777020448,0.106001360082,0.128889190265,0.0,0.151777020448,2.06896551724,0.716498596953,0.922077922078,18.0,290.0,600.0,274.0,0.285453490493,0.341954022989,16.0810810811,2.0,0.151777020448,0.106001360082,0.0,2.06896551724,43.1944444444
BALBS255,DefaultProbCons,0.393279484248,0.292506481559,0.342892982904,0.132311977716,0.393279484248,1.77245104659,0.574961568291,0.844583987441,22.0,1481.0,2625.0,1313.0,0.41687367821,0.456908722608,38.7682291667,2.0,0.393279484248,0.292506481559,0.132311977716,1.77245104659,289.159090909
BALBS660,DefaultProbCons,0.571552924791,0.520120405577,0.545836665184,0.237161531279,0.571552924791,1.23844884488,0.443896395031,0.541111111111,7.0,1212.0,1501.0,1107.0,0.0618922607316,0.18882602546,10.4705882353,4.0,0.571552924791,0.520120405577,0.237161531279,1.23844884488,21.1428571429
BALBS743,DefaultProbCons,0.0,0.0,0.0,0.0,0.0,1.00419490158,0.93842364532,0.93842364532,2.0,3099.0,3112.0,3099.0,1.08658405805,0.434494998387,1346.5,1346.5,0.0,0.0,0.0,1.00419490158,673.0
BALBS179,DefaultProbCons,0.238689077655,0.173810046063,0.206249561859,0.0,0.238689077655,1.51223491028,0.681139158441,0.794871794872,14.0,613.0,927.0,527.0,0.261661050404,0.521556746679,23.3125,3.0,0.238689077655,0.173810046063,0.0,1.51223491028,142.178571429
BALBS391,DefaultProbCons,0.274075713969,0.240481740482,0.257278727226,0.0481012658228,0.274075713969,1.11138014528,0.579362979995,0.745033112583,7.0,826.0,918.0,811.0,0.678451784725,0.559840885507,43.16,5.0,0.274075713969,0.240481740482,0.0481012658228,1.11138014528,173.214285714
BALBS676,DefaultProbCons,0.327938554382,0.238813423891,0.283375989137,0.0,0.327938554382,2.40540540541,0.799847397292,0.96875,25.0,37.0,89.0,37.0,0.0259202040518,0.0843243243243,2.36363636364,3.0,0.327938554382,0.238813423891,0.0,2.40540540541,0.14
BALBS567,DefaultProbCons,0.375479299131,0.298652665714,0.337065982423,0.0,0.375479299131,2.25,0.704924020252,0.882978723404,24.0,120.0,270.0,111.0,0.0812783203062,0.162152777778,3.53787878788,3.0,0.375479299131,0.298652665714,0.0,2.25,1.39583333333
BALBS537,DefaultProbCons,0.385175135668,0.288765603329,0.336970369499,0.0126582278481,0.385175135668,1.79331306991,0.667719582976,0.823333333333,9.0,329.0,590.0,319.0,0.0215365246127,0.0658561296859,1.98979591837,1.0,0.385175135668,0.288765603329,0.0126582278481,1.79331306991,0.0
BALBS049,DefaultProbCons,0.264143657077,0.206708975521,0.235426316299,0.00791556728232,0.264143657077,1.46666666667,0.70151154141,0.789297658863,7.0,450.0,660.0,415.0,0.112286321029,0.226031746032,8.09090909091,2.0,0.264143657077,0.206708975521,0.00791556728232,1.46666666667,36.1428571429
BALBS547,DefaultProbCons,0.636549583862,0.554667813902,0.595608698882,0.066889632107,0.636549583862,1.59090909091,0.480590672956,0.739837398374,17.0,308.0,490.0,283.0,0.0638727969623,0.183346065699,6.44295302013,1.0,0.636549583862,0.554667813902,0.066889632107,1.59090909091,0.0
BALBS165,DefaultProbCons,0.00546875,0.0058155635558,0.0056421567779,0.0,0.00546875,0.944288126055,0.862648576449,0.913043478261,5.0,1777.0,1678.0,1520.0,0.806219271378,0.584243106359,96.1296296296,4.0,0.00546875,0.0058155635558,0.0,0.944288126055,489.4
BALBS457,DefaultProbCons,0.124356598723,0.0882911854992,0.106323892111,0.00440528634361,0.124356598723,1.67871485944,0.821776691989,0.881720430108,9.0,249.0,418.0,220.0,0.0484026240429,0.182954038376,4.93975903614,4.0,0.124356598723,0.0882911854992,0.00440528634361,1.67871485944,0.0
BALBS694,DefaultProbCons,0.37767411935,0.313233724653,0.345453922002,0.0353356890459,0.37767411935,1.446875,0.633562266084,0.777251184834,9.0,320.0,463.0,262.0,0.104043328491,0.273958333333,13.6034482759,8.0,0.37767411935,0.313233724653,0.0353356890459,1.446875,23.3888888889
BALBS015,DefaultProbCons,0.0941091954023,0.0706199460916,0.082364570747,0.0,0.0941091954023,1.4745508982,0.785061628364,0.820512820513,6.0,668.0,985.0,634.0,0.0911986392684,0.192365269461,6.37190082645,3.0,0.0941091954023,0.0706199460916,0.0,1.4745508982,30.1666666667
BALBS492,DefaultProbCons,0.383462670591,0.31598676957,0.349724720081,0.0730223123732,0.383462670591,1.40619307832,0.681936046488,0.751824817518,7.0,549.0,772.0,475.0,0.0266406485259,0.16237314598,5.7247706422,3.0,0.383462670591,0.31598676957,0.0730223123732,1.40619307832,0.0
BALBS439,DefaultProbCons,0.306376360809,0.257684761282,0.282030561045,0.0289855072464,0.306376360809,1.2875,0.795714824117,0.914893617021,8.0,80.0,103.0,72.0,0.142095891052,0.24375,10.4,10.0,0.306376360809,0.257684761282,0.0289855072464,1.2875,0.0
BALBS086,DefaultProbCons,0.391425808531,0.314376941664,0.352901375098,0.0613636363636,0.391425808531,1.28378378378,0.566562243779,0.679723502304,8.0,814.0,1045.0,800.0,0.32010824871,0.424447174447,36.8533333333,1.0,0.391425808531,0.314376941664,0.0613636363636,1.28378378378,165.5
BALBS004,DefaultProbCons,0.111859140342,0.0869565217391,0.0994078310405,0.00204498977505,0.111859140342,1.29896907216,0.821734824551,0.8525,4.0,582.0,756.0,516.0,0.101577583847,0.192439862543,7.0,2.5,0.111859140342,0.0869565217391,0.00204498977505,1.29896907216,31.875
BALBS667,DefaultProbCons,0.152263374486,0.125105663567,0.138684519026,0.0,0.152263374486,1.33623188406,0.618018026853,0.634920634921,5.0,345.0,461.0,295.0,0.117549362009,0.221449275362,10.9142857143,7.0,0.152263374486,0.125105663567,0.0,1.33623188406,26.1
BALBS471,DefaultProbCons,0.131968503937,0.100335249042,0.11615187649,0.0101265822785,0.131968503937,1.57373271889,0.808904317093,0.850174216028,8.0,434.0,683.0,355.0,0.0462989865297,0.224078341014,5.40277777778,3.0,0.131968503937,0.100335249042,0.0101265822785,1.57373271889,0.0
BALBS240,DefaultProbCons,0.36631695196,0.303726764948,0.335021858454,0.0,0.36631695196,1.07729468599,0.62089326707,0.775510204082,15.0,828.0,892.0,782.0,1.67865554515,0.803542673108,166.333333333,6.5,0.36631695196,0.303726764948,0.0,1.07729468599,328.366666667
BALBS552,DefaultProbCons,0.482320689269,0.39125896342,0.436789826345,0.0,0.482320689269,1.96,0.537806682066,0.808219178082,22.0,125.0,245.0,116.0,0.0731012123962,0.198181818182,4.82300884956,3.0,0.482320689269,0.39125896342,0.0,1.96,0.0
BALBS703,DefaultProbCons,0.0794170136823,0.0845204178538,0.081968715768,0.0,0.0794170136823,0.991304347826,0.68169976523,0.860869565217,7.0,575.0,570.0,411.0,0.382942521811,0.522236024845,50.0476190476,5.0,0.0794170136823,0.0845204178538,0.0,0.991304347826,125.928571429
